number,value,params_batch_size,params_bidirectional,params_dropout,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
15,0.9670221358924554,8,False,0.22137852035542321,64,0.0002465233025381014,2,0.0001378356900362665,COMPLETE
1,0.9658225474546609,8,True,0.2216968971838151,64,0.0003823475224675188,1,0.00012562773503807024,COMPLETE
2,0.9612613868748838,32,False,0.33696582754481696,128,0.00021930485556643703,2,0.002661901888489057,COMPLETE
16,0.7965022821829465,8,False,0.2034959474116233,64,0.0007182620582983219,1,0.0001047428040722656,COMPLETE
7,0.7119873902981583,32,True,0.4548850970305306,256,0.0026698666742744613,2,0.00030296104428212476,COMPLETE
0,0.5240334378265412,16,True,0.1624074561769746,128,0.005399484409787433,2,0.008123245085588688,COMPLETE
9,0.5240334378265412,32,True,0.47187906093702925,256,0.005532496914298506,1,0.0004149795789891589,COMPLETE
4,0.5,16,True,0.4757995766256756,256,0.0069782812651260325,3,9.46217535646148e-05,COMPLETE
3,0.5,16,True,0.14881529393791154,256,0.006586289317583112,2,0.00036324869566766035,COMPLETE
